pressure,temperature,vf,vg,hf,hg,sf,sg
1,6.9696,0.001,129.1783,29.2986,2513.6672,0.1059,8.9749
221.63,123.4872,0.0011,0.8045,518.6361,2710.9469,1.5654,7.0926
442.26,147.2645,0.0011,0.4207,620.3859,2742.6032,1.8139,6.8618
662.89,162.7616,0.0011,0.2872,687.4836,2760.4395,1.9701,6.7255
883.52,174.5666,0.0011,0.2187,739.1157,2772.3027,2.0864,6.6276
1104.15,184.2289,0.0011,0.1768,781.7683,2780.785,2.1801,6.5507
1324.78,192.4747,0.0011,0.1485,818.4831,2787.0777,2.2591,6.487
1545.41,199.7066,0.0012,0.128,850.9488,2791.83,2.3278,6.4323
1766.04,206.1733,0.0012,0.1124,880.2077,2795.436,2.3887,6.3844
1986.67,212.0393,0.0012,0.1002,906.9514,2798.1527,2.4436,6.3415
2207.3,217.42,0.0012,0.0904,931.6641,2800.1577,2.4937,6.3025
2427.93,222.3994,0.0012,0.0823,954.6991,2801.5782,2.5399,6.2668
2648.56,227.0408,0.0012,0.0755,976.3225,2802.509,2.5828,6.2338
2869.19,231.3931,0.0012,0.0697,996.7404,2803.0223,2.6229,6.203
3089.82,235.4949,0.0012,0.0647,1016.1156,2803.1746,2.6606,6.174
3310.45,239.3774,0.0012,0.0604,1034.5794,2803.0106,2.6963,6.1467
3531.08,243.0661,0.0012,0.0565,1052.2392,2802.5664,2.7301,6.1208
3751.71,246.582,0.0012,0.0532,1069.1842,2801.8717,2.7623,6.0961
3972.34,249.9429,0.0013,0.0501,1085.4893,2800.9509,2.793,6.0725
4192.97,253.1637,0.0013,0.0474,1101.218,2799.8246,2.8225,6.0498
4413.6,256.2573,0.0013,0.045,1116.4248,2798.51,2.8507,6.028
4634.23,259.2349,0.0013,0.0427,1131.1567,2797.0219,2.878,6.007
4854.86,262.106,0.0013,0.0407,1145.4547,2795.3727,2.9042,5.9867
5075.49,264.879,0.0013,0.0388,1159.3547,2793.5733,2.9296,5.967
5296.12,267.5614,0.0013,0.0371,1172.8883,2791.6331,2.9541,5.9479
5516.75,270.1597,0.0013,0.0355,1186.0837,2789.5602,2.978,5.9293
5737.38,272.6799,0.0013,0.0341,1198.966,2787.3616,3.0011,5.9111
5958.01,275.1271,0.0013,0.0327,1211.5576,2785.0437,3.0236,5.8934
6178.64,277.506,0.0013,0.0314,1223.8787,2782.6118,3.0455,5.8762
6399.27,279.8209,0.0013,0.0302,1235.9478,2780.0706,3.0668,5.8592
6619.9,282.0756,0.0013,0.0291,1247.7813,2777.4244,3.0876,5.8426
6840.53,284.2736,0.0013,0.0281,1259.3946,2774.6768,3.108,5.8263
7061.16,286.4181,0.0014,0.0271,1270.8014,2771.8311,3.1279,5.8103
7281.79,288.5119,0.0014,0.0262,1282.0145,2768.89,3.1473,5.7946
7502.42,290.5577,0.0014,0.0253,1293.0456,2765.856,3.1664,5.7791
7723.05,292.5579,0.0014,0.0245,1303.9057,2762.7313,3.1851,5.7639
7943.68,294.5149,0.0014,0.0237,1314.6046,2759.5176,3.2034,5.7488
8164.31,296.4306,0.0014,0.023,1325.1518,2756.2166,3.2215,5.7339
8384.94,298.307,0.0014,0.0223,1335.556,2752.8296,3.2391,5.7193
8605.57,300.1459,0.0014,0.0216,1345.8254,2749.3577,3.2565,5.7047
8826.2,301.9489,0.0014,0.021,1355.9675,2745.8018,3.2737,5.6904
9046.83,303.7176,0.0014,0.0204,1365.9895,2742.1626,3.2905,5.6761
9267.46,305.4534,0.0014,0.0198,1375.8983,2738.4406,3.3071,5.662
9488.09,307.1576,0.0014,0.0192,1385.7002,2734.6362,3.3235,5.648
9708.72,308.8316,0.0014,0.0187,1395.4012,2730.7496,3.3397,5.6341
